,Result,Text
151,TP,This best movie me automatically get attracted towards types movies I love movie much I keep watching whenever telecast television eighter English Hindi Not one The Mummy bust also parts like ie The Mummy Return Thomb Dragon Emperior Scorpio King etc time favorites movie this I would like parts made The Mummy
152,TP,One best thrilling experience type movie also experience different things Tom cruise done great action works But movie totally different action horrifying thrilling story line also odd satisfying point Worth watch one time you’re fan Tom Cruise
153,TP,I kind liked movie I saw reviews movie think flopped one If hate reboots I hate too But restrictions shoot series like actors get older story need change trend too These factors main reason behind it We must refresh memories rebootThank you
154,TP,Really I don’t care reviews say This movie really pretty good Tom Cruise Russell Crowe excellent job I wish they’ll bring Dark Universe franchise back
155,TP,I always fan tom cruise Annabelle Wallis great job actors great I understand ve reviews Loved it❤❤
156,TP,Personally speaking I really enjoyed movie I rather disappointed know film flop I would really enjoyed sequel way movie ended really built urge know continue story I would really love watch sequel
157,TP,Excellent Loved movie Great acting Full action little bit drama Some scary parts little bit humor Perfect combination Will watch again Probably couple times
158,TP,I thought great movie Cruise typically takes roles good plots one disappoint It enjoyable flick
159,TP,See I care reviews critics metacritics people This purely I felt This movie one time must watch movie As storyline different previous ones And new place added movie good I gave 4 stars concept movie graphics visuals used mixture horror thriller makes feel like whats next  Acting efforts Tom cruise mummy girl ahamnet others 1 star gave baseline story properly little bit confusing Also actress Ie Jenny one reaction face I think movie like mummy This opinion Person reading this PLEASE WATCH THIS MOVIE ATLEAST ONCE IN YOUR LIFETIME Do reply reviews ratings Just watch it
160,TP,This movie different previous mummy series movies The plot movie unique Fast paced  ending unpredictableI would surely like see sequels franchise hopefullyTom Cruise always bestThe members done decent job too The box office collection movie disappointing Story  45 Acting 45 Special effects 45 Background score 355
161,FN,Sofia Boutella brilliant Cruise Crowe  I enjoyed far types movies go  intriguing story excellent effects cant believe waited long see  Would excellent big screen sure  think worked takes unexpected turn  cant believe rotten tomatoes low  Id watch again
162,TP,A fun movie lot callbacks classic monster movies yes I away reason this Its action pack movie keeps wanting see world developed Yes goofy moments could done without ie Hyde overall fun movie long compared Mummy franchise
163,FN,So I think movie better I originally gave credit problems fair entertainment mummy self actually half bad Im fan generic zombie army part solid antagonist dr jekl hand mess felt shoehorned sake laying seeds dark verse pulled experiance kinda ruined film first go I watched honestly decent movie watch twice course Tom cruise got running mid movie scuffle honestly surprised I still would picked else lead Tom better expected cause didnt seem like kind movie jokes quips work Tom cruise never seemed like quips kind character actor hes still fairly well disclaimer I actually like Tom cruise movies I dont think Tom cruise comes mind I think someone playing role similar Brendan fraisers character went
164,TP,Its classic blockbuster movie It received lot flak saying movie meant start huge cinematic universe also ignored creative technically engaging storyline  But viewers experience movie surely PHENOMENAL scale movie massive Watch movie carefully  understand attention given detail animation Tom cruise brilliant unventured genre
165,TP,I good time watching movie retconned Dracula UnTold I would enjoy more The story nice action fun CGI awesome But things felt rushed many crossovers
166,TP,Its fantastic Tom Cruise movie I give 4 star Brendan Fraser movie series cannot forgotten 👍👍 Tom Cruise good always least one time watch movie sure guys 👍
167,TP,I dont understand movie low ratingsIt scored 5410 pretty lowIt atleast 710 Well whatever  I really liked movie  I rated 910 gave 45 stars
168,FN,You like film Dont let reviews mislead you They went way hard I would considider least 65 10 rather 52 given
169,FP,cant believe Christopher McQuarrie wrote thisshallow story terrible characters course Christopher McQuarrie standards todays standard entertaining cgi filled full nonsense action scenes movies kinda good movie
170,TN,Its dark boring They scenes give chills despite that storyline enjoyable Its definitely worth watching
171,TN,MUCH TOM CRUISE OF IMPOSSIBLE MISSIONEXCESS OF SPECIALS EFECTSAND THE PRINCIPALTOO MANY REMEMBRANCES OF HOMONYS MOVIES OF BRENDAN FRASERTHREE KEYS OF ENOUGHS MISTAKESTHANKS
172,FP,It awful movie I don’t know Russell Crowe bothered act
173,TN,WHAT THE HECK DID I JUST WATCH THIS MOVIE MAKES THE BRANDON FRASER MOVIES LOOK LIKE A MASTERPIECE
174,TN,Excellent stunt acting Sophie film lacks thrill horror suspense mummy movie boring puts us sleep
175,FP,Poorly scripted directed movie It tasteless remake The Mummy 1999
176,TN,Very boring comparison earlier movies made thyme
177,FP,Previous mummy series movies way better  entertaining unlikely one
178,FP,Was action horror movietoasted lazy comedy
179,FP,Awful The writing awful acting leading lady terrible Absolutely zero chemistry makes hard care Tom sacrifices life hers Your welcome hopefully I saved sacrificing 15hrs life trash
180,TN,This worst movie I ever seen Every scene rendered incomprehensible Tom sat one out I felt sorry Crowe even involved mess
181,FP,oh dearoh dear oh dear oh deari high hopes terriblethe makers tried cash genre failed miserablytom cruise must lose sleep thisits badit makes walking dead look like masterpiecethis story many versions filmedits time leave beone star effects
182,FP,Terrible movie The 50 yr old Sargent  corporal desert Green uniforms Dr Jeckel drug fix every 20minutes It must scienctology afternoon special
183,TN,I would give negative review I cant The original The Mummy1999 1000 better even old animated parts I wish I could get time back I wasted watching insult copy cat film
184,TN,What embarrassing take Mummy movies Bad bad bad Needed Jake Johnson What would make anyone want make movie 🤭
185,TN,Tom Cruise better sticking Mission Impossible movie terrible Poor storyline poor delivery I falling asleep I switched 30 mins
186,FP,Absolutely awful Just spoiled classic franchise One missed cost
187,TN,Only watched end thought worst one ever tom cruise definitely someone would expect pick type movie
188,TN,Terrible predictable one dimensional acting Cruise bad story line ridiculous cgi movies Just change name same
189,TP,Luke RotaYou see movie big disappointment Are movie director I think so And Im curious good movies watchFrom point view character looks perfect And one thing joker movie looks perfect How would like be The joker favorite characterYou criticized movie place write limit writing would written three times wrote nowI think super good movie worth watching I highly recommend it Its one best movies Ive seen Dont listen hate comments
190,TP,love villains added captain cold fine The concept movie awesome villains cooler superheros seeing villains fight save world great hope second movie succeed It sucks deadshot wont next one even though main character first Harley Quinn
191,TP,A entertaining unique movie DC I loved concept acting CGI action dialogues music drama humour Villains villains makes interesting start finish A must watch getting bored usual superhero films
192,FN,I LOVED JARED LETO JOKER HE WAS EVEN BETTER THAN THE JOKER IN THE CRITICALLY ACCLAIMED LEGO BATMAN MOVIE MY NIPPLES TINGLED WHEN JARED LETO JOKER CAME ON SCREEN jared leto joker movie I would end life screening PS jared leto helicopter one scene golden helicopter batman flashing bat nips wanna end life written
193,TP,A fun watch movie Would watch n number times cast songs screenplay You never know time runs start movie Nevermind critics view Not movies rated good fun watch Id love watch intro end credits neon graphics bgm ❤️ love India ❤️
194,TP,Margrot AMAZING aunt well godmother I think great job Harley told roll I soo excited I loved reading comics I soo happy meat cast afterwards I thought joker well cute I find anything wrong comics went alot stress though She told I one ONLY reason tried I soooooooooooooooo excited best 11 th birthday present anyone could ask for GO ANUT M
195,TP,I really like movie It great amount action cool characters I also like add comedy well I don’t see anything wrong plot I really enjoyed it
196,TP,Fun movie The soundtrack awesome From beginning end total fun enjoy adult humor Not kiddies Lots violence but even figured way make funny Loved every character
197,TP,I absolutely love it Its one favorite movies 😍 everything movie awesome It awesome action fighting  absolutely love acting Everyone amazing job movie😊 My favourite character DEFINITELY Jared Letos Joker😍😍😍
198,TP,I understand film got hate got though I understand people wanting Joker Harley Quin But I actually really like enjoyed movie Plus even film great Heathens AMAZING song
199,TP,I know one gets alot hate meant deep film characters find rebound wicked ways Its gritty live action comic type horror scifi It shows even lost gone astray criminals find redemption sense honor unity SPOILERS Dead shot one last deed daughter remember instead killer Diablo sacrifice surrogate family make demise immediate Even Rick Flagg changing ways judgmental self righteous soldier understanding seeing flaws outsider misfit comrades form team save soul world woman loves Release AYer cut film Its said Hollywood stepped id like see version
200,TP,Definitely really funny great actors it really great way make supervillains somey good David Ayer good job directing plot storyline could better Ill admit things wrong film actors characters made better The action scenes pretty good best good I would recommend watching it good Man Steel Batman v Superman Dawn Justice would recommend 710 rating Suicide Squad
201,FN,It’s good movie lot people hate valid reason I personally enjoyed it The movie fun exciting I liked characters mission went on Joker main issue he’s joker he’s watered joker isn’t crazy cringe dialogue The issues movie whole plot weird super interesting action scenes could better Overall 7610
202,FN,I started watching TV expecting change channel pretty quickly Im comic book person I think would appeal me But I wrong hooked I ended really enjoying it Margot Robbie fantastic Jared Leto I idea  I google find out outstanding too Im looking forward checking part 2 comes out
203,TP,Such good movie Much better first suicide squad characters developed distinct attributes set apart one another I’m talking powers abilities Definitely must watch DC fans also love action
204,TP,While I deny film flaws I point judging film I tend focus positive aspects came it It Margot Robbies debut Harley Quinn all Also I like think film template new one James Gunn directing You cant achieve total perfection without hitting bumps along way know I mean
205,TP,ok im gonna keep short anyways movie AMAZING characters funny cool soundtrack best ive heard while end movie kinda sucked though wish deadshot wouldve got see daughter more also one thing WHY WONT JOKER STAY DEAD thats gave four instead five overall movie great though
206,TP,Warner Bros Pictures Suicide Squad Is A 2016 ActionAdventure Starring Margot Robbie Joel Kinnaman Jai Courtney Viola Davis Will Smith Jared Leto Cara Delevingne The Synopsis Is About It Feel Good To Be Bad Assemble A Team Of The World’s Most Dangerous Incarcerated Super Villains Provide Them With The Most Powerful Arsenal At The Gov Disposal Send Them Off On Mission To Defeat An Enigmatic Insuperable Entity Director By David Ayer And Everybody That Work On This Movie Will Saw This Movie In 2016 Back In Theaters When It Come Out I Didn’t Like It Because Of Jared Leto Joke And I Don’t See Since Now In 2021 Five Years Later I Like The Second Time A Little Bit But I Will Give It Four Stars It Not That Bad Of You See The Second Time It Ok 😒
207,FN,I thought movie really cool favorite characters film Margot Robbies Harley Quinn Will Smith Deadshot Joel Kinnaman Col Rick Flag Jared Leto Joker But much I really liked movie I want see full directors cut movie Because I know fact theres much more
208,FN,What I say I liked movie I really cant believe give Jarad Leto Joker movie  He great Joker I also liked character portrayals DC comics gotten darker gotten older much better I wish would more
209,FP,As big movie 2016 halloween taken storm 5 year olds wearing Daddys Lil Monster crop top This movie expected hyped however one recongnizeable superhero movies somehow I lot respect sadness David Ayer whos movie got chopped clips recut entirely name slapped across front This movie entirely fault Warner Bros This movie much potential later explored James Gunn hit park Margot Robbies Harley Quinn always iconic role film best thing came movie
210,FP,secret government agency recruits imprisoned supervillians save world powerful threat form hot young superpower named enchantress exchange reduced sentences somewhat amusing superhero movie moments similiar watchmen without graphic violence script muddled thinly written characters choppy directing special effects ok a CGI mess mention nonstop licensed songs shuffled grating help anything thing liked margot robbie cara delevingne two great actresses great future rest movie soso boring 4 10
211,FP,This may 4 years late I gonna speak thoughts This movie complete abomination DC adaptation Suicide Squad ZERO central plot runtime made character backstory introduction In end one gives damn The Leto Joker complete joke movie significant purpose role instead functions stupid distraction meant slow progression story The writing trash narrative trash portrayal Enchantress trash basically entire movie trash I hope next movie characters literal justice Just once
212,TN,I can’t overcome fact Cara Delevingne act all You would think movie like this it’s enough pose look intensely can’t even that Please stop experimenting actress The movie otherwise exactly advertised complex characters plot lots action good music no original score confuse you blood good villains win
213,TN,First time I watched it I thought good Next times I watched it great when I came realize it Not sure people like movie better 2021 version I wish could get directors cut movie I bet Warner Bros scared cheap make it If namebrand actors movie would really sucked Anyway thanks reading short review Go DC
214,TN,There far line fun movie good movie An example could godfather good movie fun watch Suicide Squad fun watch entire duration film I making fun friends Here drinking game everytime bad plot line dumb quote bad CGI scene take drink Oh god worst hangover ever
215,FP,Joel Kinnaman plays annoying character Margot plays good Harley Quinn I Like Will Deadshot Viola super evil I like cute Jared Leto make Joker I like team interacting find story could potential
216,FP,When came 2016 I pretty young around 1015 years age lookin back movie pretty dissapointing Theres much say cuz movie modernish completely twists Joker Harrely Quinns personalities backgrounds 2 stars 1 action pretty enjoyable tho story orgins characters make sense
217,TN,I could get film Was expensive student film ever made It felt way This film made appreciate Marvel handling films I keep asking  could Will Smith choose role turn DJango Ill never know Im sure I 10 years old I might appreciate film probably actually
218,TN,Suicide Squad complete disappointment DCEU though scenes feel better alone movie point There characters wasted story script make sense Suicide Squad bunch pointless senseless scenes beautiful soundtrack Steven Price edited together
219,TN,This simply worst movie adaptation comic book ever yes worse monkeybone catwoman Fantastic four 2015 Jonah hex Elektra Ghost rider even Green lantern I paid money see cinema regretted decision 15 minutes realised entire film edited like music clip trash expensive My reaction laugh worst movie going experience 28 years F Marvel hahaha get David Ayer
220,TN,This trashcan full mildew feces Jared Leto Joker worst interpretation character Most characters needed shown potential even though good characters brag about KIller Croc walking stereotype Enchantress could potential car dealership blowup El Diablo okay Deadshot villain acting like one Will Smith playing him The good bits movie going soundtrack Viola Davis Amanda Waller Harley Quinn even though really sexualized movie
221,TN,know everyone legit loved couldn’t get point first 30 minutes left They dropped bunch character plot editing place get it The trailer really got excited piece garbage movie Really upset saw opening week total waste trip theaters 😑
222,FP,To honest I watched movie first came even though I’m 4years late review I hope helps anyone Right moment searching good movies watch  think movie like  it’s basically lamest marvel story line  lord rings  don’t even ask witches story line  missing total derailed concept flying dragons transforming cars  That’s confusing movie 😓
223,TN,Im late party review But someone tell anyone thought would good idea put regular ppl magical beings Like villains could’ve chosen fight super powerful sorceress brother disintegrating everything touches reason decides backhand two ppl instead disintegrate them win Riddle this holy plot armor Batman
224,TN,Never made I cant believe Smith got involved pos movie Birds prey looks better When I heard plot I laughed falling asleep watching bluray 2500 home theater system
225,TN,This worst DC movie ever There issues pacing horrendous I know going I confused one year events Batman v Superman Dawn Justice every villain team described I found going defeat Enchantress Also Jared Leto terrible job playing Joker I prefer Heath Ledgers Joker Dark Knight
226,TN,This movie catastrophe I originally thought would better Batman V Superman hopes like shooting helicopter RPG movie absolute nightmare start finish I don’t mean nightmare like it’s scary it’s whatsoever way shape form movie potential great turned horrible easily one worst movies I’ve ever seen entire life it’s dumb I honestly don’t know even considered made sequel I know it’s cannon one still need deserve sequel
227,TN,Best biggest let latest action comic based films Was disappointed whole film I dont dare give another chance TV free Couldnt believe Id paid money see pics Hesitant seeing new 2021 version Hope better
228,TP,It’s complex movie must watch u avengers fan It’s refreshing see finally female superhero movie among avengers members The Story intelligently spun definitely engaging Excited see Captain Marvel super strong avenger member The humour amidst action gives lighter moments too Chemistry Capt marvel n nick fury charming Annette Benning Dr Lawson though played small robust part surely impressed us appearance Brie Larson looks subtle n strong Vers n Captain Marvel She justice role too Looking forward female avengers movies marvel like captain marvel 2 black widow
229,TP,I care people said movie personally me I really enjoy love movie much To me perfectly executed character Carol Danvers heldback emotion something take consider someone whos trained like 6 years memories life Plus theres many powerful scenes gives goosebumps too Like ending scene said I got nothing prove got eyes welling tears I could relate certain aspect life Also also movie also never fails make chuckle every huhu Inspiring lighthearted thoughtprovoking Id watch anytime 
230,TP,Captain Marvel one best Superheroes I didn´t exactly know expect I haven´t read comic´s I absolutely loved film It shows strong female empowerment funny actors Brie Larson Sam L Jackson Talos amazing twist I expect I love Goose steal showbut I feel Captain Marvel AKA Carol Danvers Before mom I went go see movie I looked background her Like shape shifting Skrulls actually supposed bad guys Kree good I surprised change made loved results Ben Mendelsohn played perfect Talos British accent made character sexier I loved Jude Lawbut absolute favorite part movie Captain Marvel broke free Krees control fought like strong woman never backing down She strongest Avenger yet I love that Pro strong Woman
231,FN,WOW I cant even begin start much I LOVE Marvel movie My family getting started watching marvel movies watching timeline order Disney I care much Captain America high hopes one My expectations EXCEEDED The cat Hilarious And Samuel Jackson SO perfect character Fury And even get started Captain Marvel character She great role model finds powers controlling emotions thats I relate much The plotline easy follow nothing weird there Overall BEST Marvel movie I seen far 100010
232,TP,I personally really enjoy movie It’s refreshing see main character superherocomic based movie woman I think Oscar winning actress Brie Larson played role exactly meant to The CGI throughout movie strong writers good job portraying life women armed forces often treated Overall I think you’re type person enjoys action good plot superhero’s aliens definitely watch it
233,TP,This movie links Dark Phoneix The energy exactly Same Remember movies come house pieces So comes source creatuve conciouness Jurisdiction Jordi get shwo TV When something play ▶️ Restructuring restricted noticed kit health people coping well collective Downloads lady venus She takes peronal mission understand The movie abundant right know nobody sit analysis mean affected thier life Personally Movies intense I integrate sit analysis observe come me When I watched squid 🎮 🥅 🏑 dangerous reveal to As I extremely vulnerable And opinions time resource knowledge insight appreciated Love Always golden light ✨ 💛
234,TP,This movie really enjoyable Brie Larson played Captain Marvel well likeable character dynamic Fury really funny It cool see younger laidback version Fury know prior movies Most 1 star ratings misogynists hate powerful confident women I really like tied Marvel movies like Guardians Galaxy Avengers The 90s setting also fun
235,TP,This movie perfect combination dignity robustness Captain Marvel favourite character unique persona kept glued adventure film The movie kept us clinched unravelling past C MARVEL A true epitome feministic movie without holding back attitude Brie Larson truly justice unique powerful character She kept poignancy time powerfully implemented hard nature character I love movie Marvel universe indeed bloomed Captain Marvel 810
236,TP,This movie really good origin story Carol Danvers It funny really interesting And I happy see Skrulls Monica Rambeau join MCU Young Nick Fury great lost eye Was also happy see Marvel finally made movie female superhero main protagonist I recommend literally anyone even haven’t see MCU films
237,TP,This movie good I say confidence best marvel movie long way Dont get wrong Samuel L brie Larson great Its funny movie exciting post credit scenes great action scenes plot twist kree skrulls But lacked extra spark quite constant thrilling feeling marvel movies have Also expected lot movie space large majority movie set earth never really felt like really became captain marvel untill end Its still good movie sure lacked things Id rate 710
238,TP,One best MCU movies opinion It equal balance seriousness humor 90s pop culture badass scenes representation It may fairly simple superhero movie certainly worth watch It keeps feet fight scenes twists character development iconic Marvel humor as well Stan Lees appearance course I highly recommend movie superhero fansMCU fans action movie fans scifi fans anyone enjoys funny entertaining movie
239,TP,I saw lot negative feedback even movie started hitting theaters Ive watched myself I feel pointless This time classic yet good movie Great casting acting Cool story plot twist crucial Avengers Endgame final outcome Fascinating special effects Ill give 8 10
240,TP,Rating 8010 This good Marvel movie year From beginning good introduction first female superhero If looking good action film good cast story it The scenery movie amazing action scenes look amazing even funny scenes film To you go see regret  Overall Good Acting Performance By Female Superhero
241,TP,I enjoyed Capt Marvel is live action Super Hero Comic Book It stayed true feeling come pretentious trying something isnt I also like seeing women given stronger characters Marvel Universe well
242,FN,Captain Marvel super hit picture Plot absolutely mind blowing Great action humor amazing plot twist Bad acting actor played role captain Marvel Excellent acting Samuel L Jackson Rating 455 stars A must watch
243,TP,I feel like helped explain Nickolas Fury got Tesseract first place I also liked major plot twist towards end Even though times could better I still would like say thanks great movie
244,TP,When I watched trailer catch attention When I watched Amazon Prime list I put list I wanted see it I regret seen before entertaining I liked I would like see sequels And yes I pleased see powerful woman common see characters like that
245,TP,I enjoyed it Samuel L Jackson hilarious Brie Larsen fun watch The story good Marvel films Not sure received mixed reviews
246,TP,While Captain Marvel great movie twist previous movies like Captain America The First Avenger I wish directors thought little Goose teseract get without finding Captain America 3040 years earlier Again great movie cut franchise little bit I still recommend watch get fill space monsters female warriors space people evil misunderstood
247,TN,I dislike antiSJW SJWs movie good Nick Fury losing eye like  terrible Im Just Girl fight  Super Lame Brie Larson gives terrible performance I saw interview said know act like superhero shows movie She rage yell hangs tongue mouth Shes puts much effort trying look like superhero comes emotions even clearly attempting express emotion When gets powers war whoops chest bumping space ships She terrible Captain Marvel This movie terrible stand alone movie Making pilot name Nick Fury gets name Avengers felt forced making Goose one made Fury lose eye movie filled Skrulls probably worst single moment Marvel movie There good special effects all Captain Marvel terrible addition MCU
248,TN,The visuals impressive Brie Larson’s performance Captain Marvel’s story lackluster I rated 2 stars bland “acting” lack character ark OP abilities seem undeserved audience This coming huge fan MCU who’s generally easy please movies I’m writing review Brie publicly blamed men Hollywood sexist due film’s relatively mediocre success I hope MCU moves better story gives spotlight better actress
249,FP,When I saw movie 1st time “I thought okay” Its best movie Ive seen The story confusing time good laughs Not much action much talking drama The Cat Nick Fury stole show Carol Danvers aka Captain Marvel I liked movie took place 1990s Also Brie Larson IMO great choice play Captain Marvel Too many chips shoulder movie If I would I could change movie make better And I would recast NEW Captain Marvel Also Im concerned Avengers Endgame movie Dont hate review opinion I Straight White Male Thor  Captain Marvel Update After watching Endgame Far From Home movie still bad taste mouth Shazam  The Rise Skywalker make movie look bad And movie way milestone movie shape form And positive review see movie one SJW Liberal people don’t watch superhero movies
250,TN,Boring lacklustre Asylum movies far better flick I expect stupid narrative boring story telling marvel This DC movie rather marvel flick Anyways sometimes odd things happen like superb movie like wonder woman DC movie gave breath sinking ship black mark Marvel I hope marvel would something sequel make character likeable Thank god huge role endgame They killed character endgame
251,TN,Uhhh I think little iffy Because first all Captain Marvels flashbacks stuck weird void past events The skrulls actually good guys The trailer deceived me Most time Kree plain old bad guys question But GOOSE THE CAT IS SO GODDAMN CUTE But top this I still like DC better
252,TN,This boring underwhelming I felt like entire movie politically correct ad “Women anything men do” Capt Marvel Brie Larson flare Black Widow Gamora The action scenes weak NOTHING like fight women Black Panther emotional connection me It felt like bad date night movie I like Nostalgia back time feeling That brought pretty good memories
253,FP,Ok movie was… fine I guess My main issue I hate captain marvel annoying She’s full herself acts really rudely character growth I don’t like her Iron man started similar way really arrogant cocky actually CHARACTER DEVELOPMENT learnt stronger
254,TN,It movie focused much shoehorning female lead strong unstoppable force sake making role model little girls instead actually writing good character movie This shoehorning ideals place creating actual good movie ruins movie also muddles message movie medium message displayed through Im fine people politicalethical messages movies sacrifice quality movie so I might well watch 10 minute propaganda piece waste time
255,TN,The movie bad productionwise great alas weak character poor character building movie feel like waste time There hero journey here character growth She basically end movie figures mighty along men keeping down So learns nothing character already allpowerful struggles cant really connect this Only entitle people connect hero
256,TN,Im sorry movie complete utter Trash me Yeah made million dollars thats Sandwiched between Infinity war  Endgame This movie could legend get political Demonize anybody like film And Cringe worthy Scenes men evil Persecute gender Im sorry thats inspiring cringy Cancer And makes want Jump A building end all Why need Bs female lead movies women Not helpless victims people Bright futures  Oppurtunities Captain marvel Charecter terrible unlikable  annoying Oh black widow wronged gotten movie first movie lame  forgettable sad sad talk Female Empowerment  Feminism movie forgotten In someones mind day Im looking forward black widow heroine actually deserve  Complex Flawed Interesting Charecter Something Captain marvel failed at
257,TN,Yo everyone saying movie great falls one two categories 1 Lesbian Separatists  women believe men worse like see women placed top men basically saying like movies men 2 Die Hard Superman Fans  true superman fans ones care superman deep back story basically like action movie superhero thrilled female lead once Now movie even worse The Incredible Hulk Captain Marvel even qualify hero selfish egotistic overpowered lacks character When greatest supervillain entire marvel universe attacking Earth first time excuse every planet bad HOW Thanos confirmed greatest threat universe planets bad LAME EXCUSE Anyways okay like movie sooo overrated qualities superhero needs I wish Marvel released Black Widow Captain Marvel would fair rating
258,TN,This disappointing good marvel movie ever They really lazy job making movie Brie Larson bad movie really weird voice actor deserved ENDGAME It make sense all Brie Larson gave people ill advice ALSO WHY IS DOES HER NAME HAVE MARVEL IN IT It something else like caption LADY better name 😕🙁😶😑😐 I liked All standalone avengers movies That also includes IRON MAN 23 THOR THE DARK WORLD AND THE INCREDIBLE HULK good entertaining The others good epic awesome perfect I LOAD THIS ONE SO MUCHHH Nick furry cat goose villain good characters movie everyone else HORRENDOUS I would rather watch Shrek third Despicable Me 3 Ice age Collision Course The lego Movie 2 The Second Part  don’t like movie 😢 Cars 2 Transformers 24 5 cause better movies If I would choose Captain Marvel kidney stone I would pick
259,TN,The worst Marvel movie existence The writers behind movie must working facility gas leak script makes zero sense An explosion causes millennials become powerful beings universe concept true people present nuclear blasts super heroes Bad casting lack luster dialogue horrendous story There especially awful scene hero dream state Nirvana plays vinyl relax remind childhood maybe find lead actress born grunge period ended A major flop favorite super hero film makers
260,TN,Actually I think movie boring Captain marvel tries cool girl make even worse The graphics pretty impressive editing too But apart worth watching
261,TN,Very Bad plot 2nd game I mean character wayyy powerful somehow great acting too I specifically like character built feels like trustworthy stubborn She acts like child many scenes kills armies  like 50k people lets boss go like what Youll fine without movie theres nothing important MCU character safe pass watch others
262,TN,Aside political BS movie plain bad Its none character earlier Marvel movies feels cold lifeless Yes special effects good what What story Captain Marvel makes sense all I genuinely like Marvel universe Ive feeling downhill on
263,TN,At least Brie Larson ok side character Scott Pilgrim The movie lackluster regards part waste money The redeeming feature movie I able fall asleep dream good movie I could actually spent money enjoyed I would give less I could would effort writers gave movie
264,TP,Black Panther outstanding gorgeous film Complete unquestionable talent beautiful visuals immersive fun music Chadwick Boseman Rest In Peace gave played T’Challa vigor style He brought us interesting fanfavorite character His costars played parts perfection Michael B Jordan played one convincing heartfelt villains MCU Lupita Nyong’o Danai Gurira amazing T’Challa’s partners crime throughout movie And Letitia Wright played convincing role Shuri created chemistry character brother loved many And many great Talents movie movie good The visuals action movie unprecedented sure leave mark memories The music notable immersive African vibe fun feel An overall outstanding movie I would highly recommend watch
265,TP,Black Panther quality film It lot flair good cast fire soundtrack I however find bit bland lack interesting developments The villain fine good backstory understandably pissed He interesting Loki Hela Thanos but fine Overall cool addition MCU
266,TP,It really good movie All characters perfect even villain best I rate 45 Must watch movie made love black panther even more Now black panther favourite Mcu character
267,TP,Black Panther different superhero film new ideas never explored before It great villain hero director characters story performances visual effects except time name it Its second best influential superhero film right The Dark Knight
268,TP,Really enjoyed movie yes it’s predictable start still really good definitely worth watch First film I seen Chadwick Boseman can’t believe he’s dead young RIP
269,TP,I love racial movement involved movie The villain great I love setting concept film Only couple problems here 1 Bad visuals like cgi effects 2 Rip lion king
270,FN,Pretty good movie MCU I love Killmonger much That guys character wow Sadly Zuri died terribly
271,TP,Black panther masterpiece it’s well crafted enjoyable comic book fan normal veiwer overall it’s great directed movie execution ok cgi great fight scenes overall everyone good movie Wakanda forever
272,TP,We really missing great hero Chadda  may soul RIP Black Panther thrills every second great nail biting movie leaves sit edge seatmust watch
273,FP,It’s shame meant marvel superhero really struggled stay tethered marvel universe main character struggled hero Unless revived coma superpower They tried hard make film things people great acting effects Great standalone movie don’t get excited MCU fan
274,TN,one worst freaking mcu movies ever privilege watch chadwick boseman however spell name ONLY good thing it treasure outstanding actor amazing script had think movie overall boring
275,TN,Black Panther OK marvel movie saying lot It nothing special overrated political correctness themes race It far even close top 5 marvel movies Sadly people rate movie based political agenda rather content
276,FP,Too boring Acting political stereotypical moment time Where everything antitrump were going obviously use Trumps Wall though Yeah thats OK As long nonwhites I think couldve awesome minus leftist politics
277,TN,Rest peace Chadwick Regardless Chadwicks sad passing I think Black Panther bad movie The acting villains characters good The CGI fight end bad villain fine He underacted suit boring The costume design incredible humor bad Regardless I think movie mediocre
278,FP,Didnt love movie I racist story But loved performance actors especially Chadwick Love you Chadwick Boseman We miss you
279,TN,I really excited watch movie hype release 2018 however trying watch movie completion second time I find captivating super hero movies like Superman Man Of Steel XMen First Class In honesty I think time movie directors jump Superhero bandwagon come captivating movies
280,TN,It ok WAAAAAY overhyped Idk Before shoot say Im just racist I honestly didnt problem mostly black cast weak plot way overhyped story general It masterpiece good special effects stuff
281,TN,Have waited long time film available rent affordable price So disappointed A predictable rehashed storyline Acting so And mish mash random African cultures They seemed set dressing
282,FP,This film overrated every super hero movie continue make Sadly I hopes one different misplaced The villain believable idea advanced civilization adhering ancient customs ridiculous Marvel continues dissapoint
283,TN,I would give movie negative stars I could Words cannot accurately describe hatred movie It many flaws cover one review acting plot holes God awful visuals The film feels like trying far hard relevant make political statements Marvels horrible jokes take front row seat here Shuri single worst character film ever seen If think Killmonger good villian time rethink right critisize movies Absolute garbage save many braincells skip atrocity
284,TN,boring The pacing awful fact tchalla basically immortal panther suit releases tension Killmonger cool thats it His motives clear execution makes seem hes another random bad guy The movie even dares make viewer think tchalla dies Forest Whitakers character dies since know nothing character weight scene besides tchallas reaction The blinded praise movie thing holding up
285,TN,Awful movie First half unwatchable Premise laughable Horrible storytelling Awful characters Terrible protagonist  antagonist Bad CGI  special effects Bad acting
286,TN,Gave headache action noise🤕some worse acting I’ve seen 🙄not sure even nominated 1 white guy whole cast 😆😆😆like even bother 🤔
287,FP,Terrible movie Wasnt panthers political group 60’s Also strange bunch last 5 star reviews movie exact 🤔
288,TN,I think film complete waste time I highly recommend nobody watches film costs Very disappointed marvel better next time
289,TN,He making struggle human geography project No diffusion found movie cost 5 points project would put 80 percent
290,TN,If I could give stars I would immediately movie racist towards White People mentioned several times movie ruined me X
